model,accuracy,balanced_accuracy,macro_f1
random_forest,0.9079069767441861,0.9524331550802139,0.9525273187751271
hist_gradient_boosting,0.9097674418604651,0.9484835752482811,0.948016304347826
logistic_regression,0.8809302325581395,0.9584108251451051,0.9438937465176451
